Gene Group,D0.R1.ESTIMATE,D0.R1.CI.LOW,D0.R1.CI.HI,D0.R2.ESTIMATE,D0.R2.CI.LOW,D0.R2.CI.HI,D(MOCK).R1.ESTIMATE,D(MOCK).R1.CI.LOW,D(MOCK).R1.CI.HI,D(MOCK).R2.ESTIMATE,D(MOCK).R2.CI.LOW,D(MOCK).R2.CI.HI,D(LPS).R1.ESTIMATE,D(LPS).R1.CI.LOW,D(LPS).R1.CI.HI,D(LPS).R2.ESTIMATE,D(LPS).R2.CI.LOW,D(LPS).R2.CI.HI,T0.R1.ESTIMATE,T0.R1.CI.LOW,T0.R1.CI.HI,T0.R2.ESTIMATE,T0.R2.CI.LOW,T0.R2.CI.HI,T(MOCK).R1.ESTIMATE,T(MOCK).R1.CI.LOW,T(MOCK).R1.CI.HI,T(MOCK).R2.ESTIMATE,T(MOCK).R2.CI.LOW,T(MOCK).R2.CI.HI,T(LPS).R1.ESTIMATE,T(LPS).R1.CI.LOW,T(LPS).R1.CI.HI,T(LPS).R2.ESTIMATE,T(LPS).R2.CI.LOW,T(LPS).R2.CI.HI,M0.R1.ESTIMATE,M0.R1.CI.LOW,M0.R1.CI.HI,M0.R2.ESTIMATE,M0.R2.CI.LOW,M0.R2.CI.HI,grass.R1.ESTIMATE,grass.R1.CI.LOW,grass.R1.CI.HI,grass.R2.ESTIMATE,grass.R2.CI.LOW,grass.R2.CI.HI
Srsf6,0.008821716,0.00423657,0.018369262,0.00881073,0.004893852,0.015862548,1.30034301,0.785527423,2.152556224,1.622291538,0.7958464,3.306957014,1.364018936,0.818853192,2.272138249,1.350649413,0.66821537,2.730038724,0.008007386,0.002300811,0.027867669,0.011424649,0.00804326,0.016227576,1.192681089,0.776685407,1.831485655,1.266605006,0.802240198,1.999760478,1.27429901,0.81731744,1.986789818,1.711772861,1.03002902,2.844741528,239.224213,227.9971226,251.0041505,194.3877006,188.2442352,200.7316618,27.9557658,22.38355091,34.91514124,14.36979552,12.43667531,16.60339426
Srsf4,0.010905389,0.005080952,0.023406539,0.009824401,0.005301298,0.018206644,1.253696588,0.759818272,2.068593495,1.108501547,0.552493777,2.22405343,1.41478435,0.84375467,2.372271025,2.644916276,1.2383452,5.649137339,0.021678929,0.013489284,0.03484069,0.003386466,0.000585838,0.019575629,1.039247664,0.694939371,1.554143787,1.246234204,0.741040491,2.095836474,1.472469272,0.954649162,2.271164991,1.273859861,0.753257575,2.15426834,173.7122829,164.4292957,183.5193486,144.1608832,137.7117825,150.911998,17.7078425,15.03206699,20.85991807,16.0869099,13.86955775,18.65875429
Sntb2,0.0139305,0.00678892,0.028584639,0.009512238,0.002491552,0.036315787,1.057718119,0.649421317,1.722714653,1.446583912,0.662878334,3.156846295,1.649370874,0.964684964,2.820013147,1.533917014,0.688803538,3.41592526,0.001901558,0.000416821,0.008675008,0.00224046,0.000430709,0.011654418,1.202826925,0.78187089,1.850423938,1.253077809,0.744205235,2.109907215,1.207349244,0.784166651,1.858906135,1.258250887,0.745840107,2.122700669,4.321781827,3.769835889,4.954538793,7.109049183,5.94509096,8.500892691,1.783920538,1.324426509,2.402830558,1.225957066,0.85020523,1.767774034
Prdx6,0.006097942,0.002624736,0.014167098,0.00681232,0.003223571,0.014396364,1.287531753,0.775793416,2.136829189,1.163429041,0.568743284,2.379926361,1.287544208,0.775873254,2.136650643,1.62696692,0.76702593,3.451019391,0.011673104,0.00758503,0.017964512,0.017457057,0.011813564,0.025796519,1.169901398,0.779297211,1.756286641,1.224723337,0.76502111,1.96066126,1.345874328,0.894929005,2.024046262,1.379249619,0.859346266,2.213693812,474.8214929,457.6586566,492.6279594,623.3187034,602.8869221,644.442916,53.90527293,48.3574585,60.08956094,58.77571575,53.56552705,64.49268684
Snx3,0.017924389,0.011608624,0.027676298,0.012173589,0.006106403,0.024268993,1.263180778,0.785675161,2.030897448,1.599136932,0.768624479,3.327032899,1.248212143,0.776826413,2.005639261,1.155155277,0.568987804,2.345188602,0.016842308,0.013093374,0.021664648,0.022218966,0.017118609,0.028838935,1.09649004,0.760233441,1.581475298,1.081271388,0.706908441,1.653888606,2.223662094,1.561014243,3.167602812,3.028062593,2.085015523,4.397647387,726.1967405,697.3717436,756.2131829,670.7176964,638.9738639,704.0385432,60.87021531,54.37886415,68.13645649,40.44988389,33.31455106,49.11346708
Pck2,0.006877316,0.0026252,0.018016711,0.007483677,0.003970095,0.014106821,1.198522987,0.72545425,1.980079859,0.950346903,0.480208375,1.880765271,1.462806161,0.852726532,2.509364709,3.37310417,1.507740986,7.546277406,0.00293869,0.000559736,0.015428516,0.000505928,0.000141965,0.001803001,1.199210243,0.779864493,1.844044987,1.23297341,0.734197993,2.070590553,1.210220676,0.785678306,1.86416511,1.179336666,0.705913037,1.970263895,30.12406155,26.34533869,34.44476821,39.98433849,37.99098606,42.08228031,19.95331506,16.52053975,24.099381,18.09637678,16.87674032,19.40415308
Tmx3,0.007129802,0.002825894,0.017988667,0.012817557,0.003561952,0.046123525,1.390527224,0.825100555,2.343430688,1.524294706,0.693308222,3.351286304,1.204180411,0.729132145,1.988734791,1.423944503,0.658079058,3.08111605,0.001293056,0.000343219,0.004871512,0.002061887,0.000388008,0.010956951,1.196450182,0.778564585,1.838631073,1.270384569,0.750977351,2.149035455,1.199018955,0.780039975,1.843042026,1.234963008,0.7348615,2.075402823,9.35213261,8.338899823,10.48848004,5.23254028,3.902921352,7.015124137,2.978719968,2.137892102,4.150243429,2.084270701,1.088443486,3.991189632
Plcg2,0.010577289,0.0072841,0.01535935,0.009426182,0.005603384,0.015857006,1.127497503,0.714135905,1.780124219,1.156988318,0.586799982,2.281223603,1.248538101,0.787592458,1.97925637,2.141687212,1.082916419,4.235621546,0.013353428,0.008571035,0.02080426,0.005670942,0.001140165,0.028206076,1.276040514,0.845071204,1.926795501,1.308543675,0.772073882,2.217775511,1.270128558,0.837732904,1.925705132,1.214231117,0.724171658,2.035922271,83.72541041,81.4654378,86.04807802,68.65563756,66.10065142,71.30938149,12.32544495,10.74647054,14.1364174,15.24644965,13.54881222,17.15679745
Pdlim2,0.006519337,0.002201494,0.019305868,0.015758879,0.009097891,0.027296688,1.27479585,0.765605141,2.122640474,1.313021398,0.655487264,2.630142928,1.281450449,0.768991634,2.135413678,1.991291922,0.986335825,4.020175904,0.008148049,0.003580489,0.018542356,0.002385279,0.000354298,0.016058677,1.241763587,0.807761893,1.908949679,1.248159738,0.741099989,2.102149175,1.237620649,0.799716954,1.91530874,1.253392801,0.743255789,2.113664685,27.10697949,25.39867224,28.93018698,16.24725853,14.94454248,17.66353236,5.562298844,4.678847536,6.612561788,3.83390041,2.868260205,5.124636992
Sfpq,0.008310012,0.004652948,0.014841408,0.009264308,0.005228081,0.016416618,1.394108602,0.8433396,2.304574328,1.506678731,0.742043406,3.059229123,1.344557436,0.816924475,2.21297654,1.656854351,0.814558658,3.370127262,0.057712207,0.047563276,0.070026691,0.040206622,0.031649015,0.051078128,0.781256488,0.55747647,1.094865403,0.871724098,0.576986789,1.317019587,2.613119809,1.952243626,3.4977167,3.037683272,2.130177921,4.331807016,696.4471876,675.0847209,718.4856508,697.93933,675.1590017,721.4882823,55.22872157,50.57290092,60.31316439,55.25451956,50.42749031,60.54360256
Macrod1,0.005057544,0.001463766,0.017474612,0.022049222,0.002145745,0.226573178,1.27481062,0.76387473,2.127498206,1.51619441,0.683226861,3.364688394,1.29303432,0.772614918,2.163998796,1.561856005,0.693252646,3.51876649,0.005884048,0.00073315,0.047223626,0.003141127,0.000328523,0.030033436,1.224019954,0.793092195,1.889092917,1.255571262,0.744257676,2.118163165,1.205249767,0.782998735,1.855209894,1.253742074,0.743402572,2.114425273,6.741022063,5.637200647,8.060982977,3.637585594,1.518803554,8.712139841,1.53101204,0.876453862,2.674411019,6.415890288,4.630640975,8.889406113
Dnaja3,0.007835408,0.00233119,0.026335736,0.010374543,0.004198838,0.025633554,1.288447469,0.771673165,2.151295336,1.256033264,0.600776583,2.625967129,1.334138065,0.793219289,2.243924725,2.083835041,0.888547403,4.887041999,0.013035106,0.00611318,0.0277947,0.003715519,0.000421808,0.032728346,1.226682868,0.800415888,1.879961256,1.267039118,0.7500105,2.140487535,1.25463592,0.812978547,1.936227342,1.248937215,0.741299229,2.104203143,20.6725502,18.48231657,23.12233589,13.27317429,11.50008741,15.31963622,5.692208309,4.365067013,7.422849487,7.578717585,6.101967508,9.412859076
Psmd9,0.009972484,0.004601282,0.021613638,0.009437932,0.004590292,0.019404987,1.294782267,0.782019135,2.143759717,1.307391869,0.633377059,2.698666577,1.254335096,0.759973369,2.070278511,1.658941187,0.784149444,3.5096446,0.005744976,0.000567672,0.058140552,0.002901666,0.000345797,0.024348555,1.216459026,0.788908978,1.875720271,1.267655661,0.749471597,2.144111772,1.212478114,0.786807124,1.868441619,1.24430441,0.739010823,2.095089025,148.9955756,140.1966932,158.3466844,121.3261062,114.6381742,128.4042087,50.00383261,44.43761299,56.26727242,32.81846091,28.59172571,37.6700374
Mrpl45,0.023319063,0.012360859,0.043991982,0.005772524,0.001865716,0.01786018,1.230291533,0.75068673,2.016310128,1.33933364,0.626516973,2.863154035,1.448429397,0.869555245,2.412667548,1.536440961,0.691722563,3.412713352,0.000944969,0.000254907,0.00350311,0.005387779,0.001957102,0.014832221,1.194310757,0.777300109,1.83504179,1.324886963,0.787062487,2.230223766,1.1977065,0.779091244,1.841248853,1.163064888,0.699865881,1.932827374,15.33606451,13.93099397,16.8828495,13.1236862,11.56267614,14.8954392,3.930481603,3.19035459,4.842309905,1.744925988,0.800821511,3.802054093
Exosc1,0.015895665,0.007658846,0.032990894,0.011779731,0.003459234,0.040113527,1.321492001,0.797996473,2.188407053,1.42211152,0.658110749,3.073040792,1.258678174,0.763260418,2.07566213,1.630647881,0.723870122,3.673328174,0.034773022,0.017105853,0.070687093,0.002790881,0.000342071,0.022770164,1.20168009,0.782109577,1.846333407,1.250957442,0.742251811,2.108306776,1.261565404,0.814854131,1.953168315,1.257453424,0.745052879,2.122250862,26.21684568,23.4483879,29.31216424,25.81112606,22.25517372,29.93525176,6.699403998,4.673881955,9.60272732,9.228388348,7.295992541,11.67259301
Ehd4,0.006755336,0.003067365,0.01487745,0.00846719,0.004165444,0.017211442,1.275448259,0.770943047,2.110101735,1.399849078,0.675576544,2.900600174,1.262625059,0.764246855,2.086004056,1.403146893,0.677103846,2.907709377,0.014722738,0.011731933,0.018475985,0.009973273,0.007451972,0.013347632,1.298781044,0.912477603,1.848628607,1.207959947,0.7808175,1.86876861,1.420263568,1.001747258,2.013630269,1.609856652,1.056480686,2.453086436,157.6051203,151.6445106,163.8000205,174.8932905,167.9794927,182.0916504,18.14145868,15.5734182,21.13296637,27.28739815,24.43849807,30.46840668
Tbl1x,0.00681589,0.0022019,0.021098309,0.008417277,0.003796671,0.018661228,1.338319362,0.793883302,2.256123424,1.419878794,0.672884799,2.996138108,1.245509461,0.749504096,2.069760293,1.773610092,0.807854168,3.893886899,0.000741327,0.000268372,0.002047776,0.000394356,0.000230008,0.000676133,1.206128698,0.783960938,1.855636381,1.405233618,0.845342754,2.335953683,1.178016545,0.768927168,1.804752177,0.995022344,0.611383367,1.619392216,1.467566848,1.260500113,1.708649157,1.481067441,1.397181077,1.56999032,1.039688564,0.851461888,1.269525186,0.297800076,0.254204233,0.348872575
Npc2,0.005612872,0.00188759,0.01669024,0.004572469,0.001697134,0.012319281,1.243389276,0.748892982,2.064402962,1.023369622,0.49422523,2.119044757,1.358750228,0.804653552,2.294406304,2.303023288,0.852545412,6.221271258,0.008936687,0.006792694,0.011757395,0.017210114,0.011773295,0.025157616,1.084028451,0.740933495,1.585996167,1.273989818,0.792259356,2.048634761,1.469816603,1.03389438,2.089537276,1.30841377,0.830681113,2.060895049,437.02094,413.0329077,462.4021438,465.9614125,441.7705047,491.47699,47.64650434,41.12747867,55.19884634,48.27497478,34.28051354,67.98244685
Actn1,0.006176894,0.003625476,0.010523864,0.009832007,0.00515686,0.018745586,1.196032321,0.737460173,1.939756701,1.523162581,0.739564571,3.137013775,1.34971197,0.824530868,2.209404733,1.270670544,0.625050128,2.583158632,0.002585265,0.001673343,0.003994158,0.001732471,0.001008888,0.002975011,1.097080703,0.734425768,1.638812418,1.242902921,0.755392262,2.04504037,1.291511937,0.852717861,1.956101967,1.310487775,0.794157853,2.162514924,114.0312813,110.7531137,117.4064789,114.5205257,109.7481356,119.5004429,13.843518,11.52331127,16.63089593,15.09514904,12.6839914,17.96465461
Nasp,0.021607374,0.016663619,0.02801784,0.022604851,0.016087978,0.03176156,1.585154123,1.053397485,2.385342314,2.040834869,1.206091523,3.453309208,1.360955077,0.896580737,2.065847107,1.216675893,0.672044352,2.202682343,0.006860929,0.003202739,0.014697528,0.001307536,0.000322026,0.005309034,1.217072834,0.796162337,1.860507857,1.260679527,0.748512737,2.123294356,1.225587232,0.797929753,1.882451502,1.254484026,0.744707115,2.113220272,61.97519366,59.83975602,64.18683639,53.00402207,51.1835809,54.88921068,4.658301335,3.256094843,6.664354809,6.08310188,4.968277685,7.448079763
Dohh,0.016670588,0.007826474,0.035508776,0.013829968,0.005706547,0.033517295,1.300554712,0.785549848,2.153195704,1.674639801,0.764788706,3.666919297,1.380027823,0.826828548,2.303351521,1.549045242,0.718958378,3.337524444,0.002053566,0.000572385,0.007367646,0.002163574,0.000685557,0.006828103,1.208745403,0.786106392,1.858610317,1.252685376,0.746735757,2.101440348,1.205601605,0.783819626,1.854349116,1.244757662,0.740703451,2.091824514,11.12851722,10.08130244,12.28451346,9.697214456,8.793667691,10.69360038,1.463651662,0.885409483,2.419531557,1.387420953,0.995137318,1.934342996
Svil,0.021713494,0.014819392,0.031814788,0.028632009,0.019038122,0.043060546,1.155947232,0.727493572,1.836736506,1.43614786,0.759875507,2.71428761,1.52457291,0.951033129,2.443997466,1.815240236,0.973865401,3.38352416,0.000858627,0.000319931,0.00230437,0.000442766,0.000230258,0.000851401,1.152587243,0.752889482,1.764478565,1.232583272,0.743879331,2.042349423,1.220926802,0.791145827,1.884181406,1.247480037,0.742172781,2.096825001,12.90107242,12.08463728,13.77266573,16.26857974,15.46146934,17.11782243,2.811900732,2.208775712,3.579714175,2.756155049,2.481084108,3.061722347
Fryl,0.009351695,0.002696871,0.032428025,0.014754565,0.008315171,0.026180722,1.318335819,0.786361963,2.210189981,2.465623922,1.191549687,5.102012439,1.287138233,0.771077064,2.148585283,1.331271313,0.65624801,2.700630378,0.000207682,9.46E-05,0.000455879,0.000133347,7.54E-05,0.000235712,1.185078433,0.774889569,1.812401338,1.1507419,0.705450246,1.877108877,1.175660791,0.769446615,1.796327734,1.215276082,0.741986711,1.990461466,0.698386118,0.623606253,0.782133224,0.730904423,0.685944936,0.778810728,0.148972669,0.110773095,0.200345184,0.092838403,0.072815122,0.118367844
Larp1,0.032967573,0.022150988,0.049066022,0.027786723,0.014688691,0.052564382,1.336234182,0.833686973,2.141717272,1.618007669,0.785677973,3.332088857,1.208894067,0.757692971,1.928782396,1.273473072,0.627109511,2.586045399,0.0028469,0.00212035,0.003822406,0.001599325,0.001074482,0.002380534,2.396039913,1.602066547,3.58350112,1.259993911,0.772094373,2.056205448,0.824909705,0.568012011,1.19799583,1.380997445,0.853928969,2.233387101,8.916878001,8.156168342,9.748537541,9.95551543,9.002310251,11.00965027,4.19292144,3.638938921,4.831240805,2.966558901,2.498401003,3.522441636
Impa1,0.005067028,0.001813896,0.014154488,0.004416301,0.001520674,0.012825701,1.280699059,0.768949826,2.133026139,1.421543622,0.656907315,3.076212162,1.258317052,0.757342822,2.090680412,1.316221247,0.618359699,2.801667661,0.009940351,0.00234628,0.042113723,0.022599273,0.006708146,0.076135367,1.207441589,0.7855049,1.856023036,1.389666746,0.815371011,2.368460048,1.236654986,0.801134276,1.908937865,1.192945054,0.713824421,1.993652584,289.4854679,276.7717914,302.7831546,272.8537036,257.5249237,289.0949057,28.06063496,23.5737228,33.401565,26.8013673,21.36807564,33.61618994
Anxa2,0.006568294,0.00353006,0.012221458,0.003123645,0.001328331,0.007345428,1.175063892,0.720923771,1.915285926,1.233428315,0.592148665,2.569195034,1.497230754,0.893962073,2.507600714,1.574103876,0.720251469,3.440191543,0.005394931,0.004026141,0.007229076,0.004023353,0.003024492,0.005352096,1.108487633,0.76117152,1.614281144,1.060498893,0.688027021,1.634612984,1.356960584,0.924691419,1.99130433,2.016816848,1.357150913,2.99712446,3557.072022,3465.104061,3651.480921,3666.445333,3585.142821,3749.591592,270.6511117,252.9507234,289.5900958,225.891993,214.5579379,237.8247713
Slc7a2,0.007167504,0.001776397,0.02891984,0.011578975,0.002003938,0.066904597,1.323319683,0.786341995,2.226989013,2.493267996,0.572792143,10.85277683,1.273939566,0.763374268,2.125984707,1.022093722,0.432161479,2.417326918,0.005430552,0.004399304,0.006703536,0.004401679,0.003456253,0.005605717,1.112143222,0.740948914,1.669295308,0.990501781,0.623018419,1.574742814,1.096685468,0.76741761,1.567228847,1.567454279,1.089305754,2.255485116,1.015882467,0.339440388,3.040348829,0.903126787,0.42314629,1.927555585,1.032703663,0.357365273,2.984276692,0.446474208,0.110992886,1.795963913
Mif,0.003403034,0.001514132,0.007648369,0.004315773,0.00216347,0.008609269,1.25668408,0.759755937,2.078634467,1.285235102,0.62579785,2.639557276,1.221947603,0.740944739,2.015205541,1.510567418,0.723284771,3.154793264,0.003024212,0.000577385,0.015840133,0.006358406,0.001697055,0.023823228,1.193927841,0.776861375,1.834900967,1.341336184,0.788905033,2.280607532,1.215341367,0.78853801,1.873155914,1.149333084,0.685836525,1.92606618,2098.713861,2036.815156,2162.493665,2418.270319,2349.336601,2489.226674,218.4028207,174.702875,273.0338129,264.6055571,216.4752315,323.4370065
Ahcy,0.009420784,0.006557974,0.013533322,0.003713176,0.001775924,0.007763664,1.231505699,0.779085324,1.946649795,1.208140296,0.588272091,2.481169847,1.395986293,0.87983366,2.214938822,1.738189662,0.801186052,3.771038314,0.036426519,0.023430299,0.056631429,0.008442679,0.001645067,0.043328838,1.379201909,0.908307755,2.094221803,1.312988566,0.775737952,2.222321302,1.156846074,0.764097593,1.751468466,1.241789572,0.738472008,2.088151378,299.982586,294.0421225,306.0430632,283.2069706,277.3793576,289.1570191,30.44802004,27.76424132,33.39122125,30.69048957,29.00922786,32.46919066
Ube2m,0.018235452,0.013181535,0.025227085,0.01846839,0.010545007,0.032345301,1.103018404,0.706544553,1.721971521,1.559486844,0.775027009,3.137954147,1.422307598,0.909484092,2.224292783,1.257897696,0.629529336,2.51347558,0.009464772,0.0068009,0.013172067,0.004117483,0.002928678,0.005788847,1.040310225,0.709421745,1.525531705,0.928127614,0.592925183,1.45283232,1.672366609,1.133310607,2.46782308,2.7008728,1.782450797,4.092519072,197.1737661,190.2346598,204.3659871,198.1969932,187.9687976,208.9817491,18.86123945,14.71605966,24.17402224,24.00827171,21.63759328,26.63868864
Ppp2ca,0.014432281,0.009336125,0.022310191,0.012923394,0.008521125,0.019600009,1.367701194,0.84529223,2.212970249,1.698586187,0.904012502,3.191543289,1.384639862,0.855318172,2.241537254,1.82117578,0.977177104,3.394145451,0.006150553,0.004617719,0.008192205,0.004752335,0.002873246,0.007860336,1.322237059,0.905703469,1.930334706,1.083042974,0.670907589,1.748351191,1.079291502,0.744854554,1.563889406,1.48956734,0.906090032,2.448775267,118.817328,114.3875316,123.4186737,100.7734825,97.35534084,104.3116349,29.0132841,27.33369692,30.79607771,22.16462886,20.02176267,24.53683928
Rbbp6,0.013690612,0.002600878,0.072065212,0.007517669,0.002551675,0.02214833,1.311329371,0.78158377,2.20012849,1.550587428,0.703075262,3.419721191,1.322109887,0.78632126,2.222977607,1.362869807,0.637631319,2.912990711,0.000635208,0.000212299,0.001900571,0.000268726,9.43E-05,0.000765497,1.192701834,0.777257887,1.830200361,1.235882322,0.737368796,2.071426296,1.20307311,0.782516222,1.849654829,1.197893106,0.717615518,1.999605439,3.106917717,2.380517617,4.054974276,2.319399863,2.030607902,2.64926366,1.518588834,1.224677331,1.883036443,0.94870341,0.718019406,1.253501161
